BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,CurrentFloor,TotalFloors,Year
2,10000,1100,2,221,4,2,1,2,2,0.0,2.0,2022
2,20000,800,2,1527,4,1,1,1,2,1.0,3.0,2022
2,17000,1000,2,1760,4,1,1,1,2,1.0,3.0,2022
2,10000,800,2,526,4,2,1,1,2,1.0,2.0,2022
2,7500,850,1,1890,4,2,0,1,2,1.0,2.0,2022
2,7000,600,2,1975,4,2,1,2,2,0.0,1.0,2022
2,10000,700,2,1184,4,2,0,2,0,0.0,4.0,2022
1,5000,250,2,1184,4,2,0,1,0,1.0,2.0,2022
2,26000,800,1,1476,4,2,0,2,0,1.0,2.0,2022
2,10000,1000,1,1358,4,1,1,2,2,1.0,3.0,2022
3,25000,1200,1,29,4,1,1,2,0,1.0,4.0,2022
1,5000,400,1,991,4,2,1,1,0,1.0,1.0,2022
1,6500,250,1,1965,4,0,0,1,2,1.0,4.0,2022
1,5500,375,1,525,4,2,1,1,0,1.0,2.0,2022
3,8500,900,1,1501,4,2,0,2,2,0.0,2.0,2022
3,40000,1286,1,1401,4,0,1,2,2,1.0,1.0,2022
2,6000,600,2,237,4,1,1,1,2,1.0,2.0,2022
2,10000,800,2,260,4,2,1,1,2,0.0,2.0,2022
2,11000,2000,1,261,4,2,1,1,2,0.0,3.0,2022
2,6000,660,2,260,4,2,1,1,2,1.0,2.0,2022
2,7900,650,1,1780,4,2,2,1,2,1.0,2.0,2022
2,9000,400,1,613,4,2,0,2,2,2.0,3.0,2022
1,4000,300,1,613,4,2,1,1,2,0.0,4.0,2022
3,6500,1600,2,860,4,2,1,1,2,0.0,2.0,2022
1,8000,400,2,1893,4,1,0,1,0,1.0,2.0,2022
2,7000,1000,2,1631,4,2,1,1,2,1.0,1.0,2022
1,5300,355,1,522,4,1,1,1,0,1.0,1.0,2022
2,6000,1000,2,1010,4,1,1,1,2,0.0,3.0,2022
2,8500,800,2,197,4,2,1,1,2,4.0,5.0,2022
2,12500,850,2,1599,4,2,1,2,2,0.0,2.0,2022
1,7500,350,1,196,4,2,1,1,2,0.0,2.0,2022
2,15000,900,1,1566,4,2,1,2,2,0.0,2.0,2022
2,6000,550,2,2114,4,1,1,1,2,1.0,1.0,2022
2,5000,500,1,240,4,2,1,2,2,0.0,2.0,2022
3,22000,1100,1,526,4,2,1,1,2,2.0,3.0,2022
2,15000,850,1,1893,4,1,1,1,2,1.0,2.0,2022
2,12500,800,1,1855,4,2,0,1,0,2.0,2.0,2022
2,7000,630,1,312,4,2,0,1,2,0.0,3.0,2022
2,21000,900,1,231,4,1,0,2,2,1.0,2.0,2022
1,10000,270,1,818,4,1,1,1,2,1.0,2.0,2022
2,7200,630,1,312,4,1,1,1,2,0.0,1.0,2022
3,12000,1500,1,276,4,0,0,2,2,0.0,2.0,2022
